Ref,Val,Package,PosX,PosY,Rot,Side
"C4","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","135.4000","-129.2000","270.0000","top"
"C5","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","155.0000","-129.0000","180.0000","top"
"C6","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","155.0000","-115.5000","90.0000","top"
"C7","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","148.5500","-140.1000","90.0000","top"
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","152.5000","-115.5000","90.0000","top"
"J4","USB_B_Micro","USB_Micro-B_Molex-105017-0001","143.0000","-142.0000","0.0000","top"
"R1","22R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","144.0000","-135.6200","270.0000","top"
"R10","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","127.0000","-101.6000","270.0000","top"
"R11","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","127.0000","-96.5200","270.0000","top"
"R12","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","154.9400","-106.6800","270.0000","top"
"R13","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","154.9400","-101.6000","270.0000","top"
"R14","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","154.9400","-96.5200","270.0000","top"
"R15","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","159.0000","-126.0000","90.0000","top"
"R16","470R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","150.0000","-115.5000","270.0000","top"
"R2","22R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","141.5000","-135.6200","270.0000","top"
"R3","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","71.1200","-106.6800","270.0000","top"
"R4","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","71.1200","-101.6000","270.0000","top"
"R5","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","71.1200","-96.5200","270.0000","top"
"R6","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","99.0600","-106.7200","270.0000","top"
"R7","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","99.0600","-101.6000","270.0000","top"
"R8","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","99.0600","-96.4800","270.0000","top"
"R9","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","127.0000","-106.6800","270.0000","top"
"SW1","SW_Push_Dual","SW_SPST_B3S-1000","160.7500","-133.5000","270.0000","top"
"U1","MCP23017_SO_2","SOIC-28W_7.5x17.9mm_P1.27mm","86.3600","-101.6000","90.0000","top"
"U2","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm","144.7400","-125.4600","90.0000","top"
"U3","MCP23017_SO_3","SOIC-28W_7.5x17.9mm_P1.27mm","114.3000","-101.6000","90.0000","top"
"U4","MCP23017_SO_1","SOIC-28W_7.5x17.9mm_P1.27mm","58.4200","-101.6000","90.0000","top"
"U5","MCP23017_SO_4","SOIC-28W_7.5x17.9mm_P1.27mm","142.2400","-101.6000","90.0000","top"
"Y1","16MHz","Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm","155.4000","-126.0000","270.0000","top"
